i	j	k	Dose(Gy)	gamma	gamma_f	e-	e-_f	e+	e+_f	neutron	neutron_f	proton_1	proton_1_f	proton	proton_f	deuteron	deuteron_f	triton	triton_f	He3	He3_f	alpha	alpha_f	Li6	Li6_f	Li7	Li7_f	Be7	Be7_f	Be8	Be8_f	Be9	Be9_f	Be10	Be10_f	B10	B10_f	B11	B11_f	C12	C12_f	C13	C13_f	C14	C14_f	N13	N13_f	N14	N14_f	N15	N15_f	N16	N16_f	O16	O16_f	O17	O17_f	O18	O18_f	Na23	Na23_f	Si28	Si28_f	P31	P31_f	S32	S32_f	S34	S34_f	Cl35	Cl35_f	Cl36	Cl36_f	Cl37	Cl37_f	K39	K39_f	K41	K41_f	Fe57	Fe57_f
21	0	0	4.85085e-07	2.01055e-15	1996	1.0048e-08	26500	1.29935e-12	3	9.1776e-14	660	4.61041e-07	97401	1.11865e-08	842	3.86764e-15	1	0	0	0	0	2.39792e-09	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.2826e-11	55	7.489e-13	1	0	0	0	0	4.73986e-12	5	0	0	0	0	3.11125e-10	175	0	0	0	0	0	0	0	0	4.36206e-13	1	0	0	0	0	0	0	0	0	0	0	3.11272e-13	1	0	0	0	0
22	0	0	4.93765e-07	2.27018e-15	1984	9.44433e-09	25089	1.07614e-11	4	1.26172e-13	662	4.6953e-07	97250	1.13934e-08	878	0	0	0	0	0	0	2.91892e-09	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44555e-10	61	8.28392e-13	1	0	0	0	0	2.09662e-11	10	0	0	0	0	2.97104e-10	182	0	0	4.04587e-12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.14986e-14	1	0	0	0	0
23	0	0	5.02453e-07	3.65299e-15	1990	8.76588e-09	23587	1.11937e-11	5	1.00272e-13	660	4.78893e-07	97095	1.16778e-08	891	2.11406e-15	1	0	0	0	0	2.62291e-09	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35361e-10	69	6.29747e-12	1	0	0	0	0	1.65453e-11	10	0	0	0	0	3.19268e-10	177	0	0	0	0	1.13437e-13	1	0	0	0	0	2.09427e-13	1	0	0	0	0	0	0	0	0	4.32683e-12	1	0	0	0	0
24	0	0	5.14004e-07	1.65076e-15	1993	8.24391e-09	22284	7.16447e-12	7	2.92795e-14	655	4.89401e-07	96957	1.28661e-08	935	4.85805e-11	1	0	0	0	0	2.97506e-09	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22268e-10	66	5.97012e-12	1	0	0	0	0	2.50968e-12	4	1.75117e-11	1	0	0	3.13936e-10	200	0	0	0	0	0	0	0	0	4.50204e-13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	0	0	5.24888e-07	2.83165e-15	1984	7.45197e-09	20376	6.3132e-12	4	1.24486e-13	652	5.0036e-07	96806	1.38492e-08	949	0	0	0	0	0	0	2.75299e-09	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.26463e-11	47	5.89181e-14	1	0	0	0	0	1.96651e-11	8	4.64789e-12	1	0	0	3.55977e-10	202	0	0	9.64298e-13	1	0	0	0	0	3.87718e-12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	0	0	5.35083e-07	2.09412e-15	1991	6.7243e-09	18449	7.46738e-12	6	1.47969e-13	647	5.12024e-07	96633	1.34011e-08	953	0	0	0	0	0	0	2.37407e-09	139	0	0	0	0	0	0	0	0	2.4489e-12	1	0	0	0	0	0	0	1.68983e-10	72	5.55542e-12	1	0	0	0	0	1.10577e-11	6	0	0	0	0	3.63643e-10	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	0	0	5.47754e-07	3.24392e-15	1988	5.96402e-09	16462	1.30657e-11	6	1.97438e-13	646	5.24334e-07	96460	1.38108e-08	962	0	0	0	0	0	0	3.16103e-09	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45195e-10	65	1.44645e-12	1	0	0	0	0	2.01941e-11	6	0	0	0	0	2.99805e-10	193	0	0	0	0	0	0	0	0	3.64569e-12	1	0	0	0	0	0	0	0	0	0	0	3.26566e-13	1	0	0	0	0
28	0	0	5.59724e-07	2.71091e-15	1976	5.17489e-09	14243	1.4808e-11	8	2.3337e-13	637	5.37669e-07	96279	1.37631e-08	939	0	0	0	0	5.80713e-11	1	2.49391e-09	148	0	0	0	0	0	0	0	0	0	0	1.97669e-11	1	0	0	0	0	1.35754e-10	73	0	0	0	0	0	0	1.41458e-11	5	0	0	0	0	3.77851e-10	210	0	0	0	0	0	0	0	0	1.96522e-13	1	0	0	0	0	0	0	0	0	0	0	2.13938e-12	1	0	0	0	0
29	0	0	5.7396e-07	2.0744e-15	1958	4.27023e-09	11864	1.52719e-11	9	1.78505e-13	636	5.52828e-07	96101	1.38117e-08	929	0	0	0	0	0	0	2.45254e-09	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90291e-10	84	1.5579e-11	1	0	0	0	0	7.95419e-12	8	0	0	0	0	3.64869e-10	206	0	0	2.71042e-12	2	0	0	0	0	8.56527e-14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	0	0	5.90428e-07	2.20663e-15	1948	3.45439e-09	9643	9.13932e-12	6	1.53973e-13	633	5.69287e-07	95944	1.40463e-08	937	0	0	0	0	0	0	3.07456e-09	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2898e-10	72	5.43049e-12	1	0	0	0	0	5.71673e-12	5	0	0	0	0	4.15988e-10	217	0	0	0	0	0	0	0	0	7.41488e-13	2	0	0	0	0	0	0	0	0	0	0	1.91464e-13	1	0	0	0	0
