Dose(Gy)         ln(S)        Survival      DoseB(Gy)            RBE   depth(slice)
0.0243816    -0.00451636       0.995494      0.0401773        1.64785             47
0.0245862    -0.00446725       0.995543      0.0397495        1.61674             48
0.0243866    -0.00442161       0.995588      0.0393518        1.61366             49
0.0251558    -0.00470703       0.995304      0.0418365        1.66309             50
0.0251493    -0.00469971       0.995311      0.0417728        1.66099             51
0.0250879    -0.00461766       0.995393      0.0410592        1.63661             52
0.0255162    -0.00469564       0.995315      0.0417375        1.63573             53
0.0259272    -0.00489141       0.995121      0.0434382        1.67539             54
0.0263837    -0.00498445       0.995028      0.0442453        1.67699             55
0.0264712    -0.00528509       0.994729      0.0468491        1.76981             56
0.0289588    -0.00628283       0.993737      0.0554401        1.91445             57
0.0272838    -0.00540013       0.994614      0.0478436        1.75355             58
0.0285675    -0.00594134       0.994076      0.0525083        1.83804             59
0.0277958    -0.00548183       0.994533      0.0485492        1.74664             60
0.0289492    -0.00604484       0.993973      0.0533978        1.84454             61
0.0290581    -0.00614514       0.993874      0.0542591        1.86726             62
0.0278713    -0.00550628       0.994509      0.0487602        1.74948             63
0.0285516    -0.00575311       0.994263      0.0508884        1.78233             64
0.0294288    -0.00607346       0.993945      0.0536436        1.82283             65
0.0299073    -0.00614141       0.993877       0.054227        1.81317             66
0.0303355    -0.00639818       0.993622      0.0564284        1.86014             67
0.0302852    -0.00634147       0.993679      0.0559427         1.8472             68
0.0309656    -0.00650276       0.993518      0.0573236        1.85121             69
0.0307292    -0.00645586       0.993565      0.0569223        1.85239             70
0.0322635    -0.00713968       0.992886      0.0627579        1.94517             71
0.0324086    -0.00718096       0.992845      0.0631091         1.9473             72
0.0336373    -0.00771725       0.992312      0.0676598        2.01145             73
0.033606    -0.00760815       0.992421      0.0667358        1.98583             74
0.0348144    -0.00818275       0.991851      0.0715929        2.05641             75
0.0363562    -0.00891206       0.991128      0.0777237        2.13784             76
0.0388313     -0.0104592       0.989595      0.0906055        2.33331             77
0.0379226    -0.00976899       0.990279      0.0848793        2.23823             78
0.0374568    -0.00994726       0.990102      0.0863615        2.30563             79
0.0372649    -0.00969195       0.990355       0.084238        2.26052             80
0.0366591    -0.00934275       0.990701      0.0813265        2.21845             81
0.0372541    -0.00995056       0.990099      0.0863889        2.31891             82
0.0355724    -0.00895576       0.991084      0.0780898        2.19523             83
0.035954    -0.00939844       0.990646      0.0817914        2.27489             84
0.0357352    -0.00916088       0.990881      0.0798067        2.23328             85
0.034621    -0.00880858        0.99123      0.0768561        2.21992             86
0.035497    -0.00920701       0.990835      0.0801924        2.25913             87
0.0365966    -0.00979335       0.990254       0.085082        2.32486             88
0.0363969    -0.00968787       0.990359      0.0842041         2.3135             89
0.0368816     -0.0101219       0.989929      0.0878116         2.3809             90
0.0367677     -0.0101083       0.989943      0.0876987        2.38521             91
0.0345259    -0.00918858       0.990854      0.0800383        2.31821             92
0.0348852    -0.00936997       0.990674      0.0815537        2.33778             93
0.035173    -0.00932291        0.99072      0.0811608        2.30748             94
0.035894    -0.00978938       0.990258      0.0850489        2.36945             95
0.0358627     -0.0099384       0.990111      0.0862879        2.40606             96
0.0361524     -0.0102506       0.989802      0.0888788        2.45845             97
0.0354961     -0.0098363       0.990212      0.0854391          2.407             98
0.036211     -0.0103843       0.989669      0.0899861        2.48505             99
0.0358258     -0.0100931       0.989958      0.0875727         2.4444            100
0.0356633      -0.010189       0.989863      0.0883676        2.47783            101
0.036804     -0.0107258       0.989332      0.0928086         2.5217            102
0.0364932      -0.010732       0.989325      0.0928598        2.54458            103
0.037093     -0.0111397       0.988922      0.0962196        2.59401            104
