i,j,k,Dose(Gy),e+,e+_f,gamma,gamma_f,e-,e-_f,neutron,neutron_f,proton,proton_f,proton_1,proton_1_f,deuteron,deuteron_f,He3,He3_f,alpha,alpha_f,Li7,Li7_f,Be8,Be8_f,Be9,Be9_f,Be10,Be10_f,B10,B10_f,B11,B11_f,B12,B12_f,C12,C12_f,C13,C13_f,C14,C14_f,N13,N13_f,N14,N14_f,N15,N15_f,O16,O16_f,O18,O18_f,Na23,Na23_f,P31,P31_f,S32,S32_f,Cl35,Cl35_f,Cl36,Cl36_f,K39,K39_f
35,0,0,3.16235e-08,0,0,6.11917e-16,255,1.60562e-09,3356,6.6327e-14,346,2.10651e-09,215,2.75476e-08,9643,0,0,0,0,3.29392e-10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94729e-11,5,0,0,0,0,0,0,0,0,0,0,4.83644e-12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,3.15782e-08,0,0,3.1172e-15,287,1.54638e-09,3342,6.61654e-14,352,1.90776e-09,209,2.77255e-08,9636,6.86578e-15,2,0,0,3.40639e-10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73835e-11,11,0,0,0,0,0,0,0,0,0,0,3.05035e-11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,3.15922e-08,0,0,6.02054e-16,266,1.55437e-09,3305,1.53912e-14,356,1.89379e-09,211,2.78563e-08,9628,0,0,0,0,2.56047e-10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.66774e-12,5,0,0,1.70854e-13,1,0,0,0,0,0,0,2.28289e-11,13,0,0,0,0,0,0,0,0,0,0,1.66271e-15,1,0,0
38,0,0,3.16814e-08,0,1,1.0929e-15,272,1.58466e-09,3394,1.12611e-13,362,1.66252e-09,202,2.81034e-08,9617,3.89027e-15,1,0,0,2.7066e-10,10,0,0,0,0,0,0,0,0,0,0,0,0,4.69046e-11,1,1.28594e-14,1,0,0,0,0,0,0,0,0,0,0,1.31705e-11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,3.19135e-08,0,1,4.19985e-16,268,1.56539e-09,3333,6.87748e-14,367,1.74983e-09,211,2.8317e-08,9609,0,0,0,0,2.67075e-10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73838e-12,2,0,0,0,0,0,0,7.10211e-13,1,0,0,1.07054e-11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,3.25758e-08,0,1,2.57174e-15,295,1.55905e-09,3369,1.31058e-14,372,2.31956e-09,223,2.84712e-08,9597,6.00412e-15,2,0,0,1.8736e-10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70846e-11,6,4.74168e-12,1,0,0,0,0,3.00058e-12,3,0,0,1.37173e-11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,3.21537e-08,0,1,1.10427e-15,275,1.53322e-09,3306,9.03852e-15,376,1.77386e-09,206,2.86647e-08,9587,1.67897e-11,2,0,0,1.01839e-10,6,0,0,0,0,0,0,0,0,6.81528e-12,1,0,0,0,0,2.46058e-11,5,0,0,0,0,0,0,3.21459e-12,1,0,0,2.8583e-11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,3.23892e-08,0,1,6.57941e-16,268,1.54833e-09,3378,9.64139e-14,373,1.64839e-09,205,2.89496e-08,9582,0,0,0,0,1.9344e-10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39907e-11,4,3.68835e-12,1,0,0,0,0,0,0,0,0,2.16777e-11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,3.27739e-08,0,1,1.05601e-15,277,1.57032e-09,3388,1.06832e-13,373,1.92784e-09,210,2.91364e-08,9574,2.24883e-15,1,0,0,1.00681e-10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76357e-13,2,0,0,0,0,0,0,0,0,8.4603e-12,1,2.9583e-11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,3.30077e-08,2.23594e-12,2,1.13918e-15,269,1.53923e-09,3352,5.98592e-14,373,1.92778e-09,214,2.93183e-08,9564,2.85834e-15,1,0,0,1.84658e-10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.29497e-12,4,4.08301e-12,1,0,0,0,0,0,0,0,0,2.40161e-11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
